date,arcc
2004-10,1.57
2004-11,1.87
2004-12,2.05
2005-01,1.91
2005-02,1.78
2005-03,1.76
2005-04,1.78
2005-05,1.81
2005-06,1.95
2005-07,1.96
2005-08,1.94
2005-09,1.82
2005-10,1.71
2005-11,1.73
2005-12,1.83
2006-01,1.89
2006-02,1.97
2006-03,2.0
2006-04,1.97
2006-05,2.02
2006-06,2.01
2006-07,1.94
2006-08,2.02
2006-09,2.12
2006-10,2.26
2006-11,2.29
2006-12,2.39
2007-01,2.48
2007-02,2.53
2007-03,2.32
2007-04,2.29
2007-05,2.37
2007-06,2.2
2007-07,2.04
2007-08,2.15
2007-09,2.18
2007-10,2.23
2007-11,2.02
2007-12,2.02
2008-01,1.93
2008-02,1.77
2008-03,1.82
2008-04,1.63
2008-05,1.79
2008-06,1.51
2008-07,1.71
2008-08,1.81
2008-09,1.62
2008-10,1.22
2008-11,0.77
2008-12,1.06
2009-01,0.79
2009-02,0.6
2009-03,0.91
2009-04,1.1
2009-05,1.44
2009-06,1.58
2009-07,1.77
2009-08,1.83
2009-09,2.24
2009-10,2.12
2009-11,2.36
2009-12,2.61
2010-01,2.58
2010-02,2.74
2010-03,3.18
2010-04,3.41
2010-05,2.91
2010-06,2.76
2010-07,3.09
2010-08,3.29
2010-09,3.53
2010-10,3.77
2010-11,3.71
2010-12,3.79
2011-01,3.86
2011-02,4.1
2011-03,3.98
2011-04,4.16
2011-05,3.95
2011-06,3.85
2011-07,3.87
2011-08,3.65
2011-09,3.39
2011-10,3.8
2011-11,3.83
2011-12,3.89
2012-01,3.99
2012-02,4.2
2012-03,4.21
2012-04,4.13
2012-05,3.89
2012-06,4.21
2012-07,4.39
2012-08,4.56
2012-09,4.64
2012-10,4.72
2012-11,4.8
2012-12,4.85
2013-01,4.97
2013-02,5.13
2013-03,5.12
2013-04,5.14
2013-05,4.85
2013-06,4.98
2013-07,5.15
2013-08,5.09
2013-09,5.12
2013-10,5.14
2013-11,5.44
2013-12,5.39
2014-01,5.37
2014-02,5.47
2014-03,5.48
2014-04,5.34
2014-05,5.36
2014-06,5.68
2014-07,5.31
2014-08,5.45
2014-09,5.25
2014-10,5.2
2014-11,5.35
2014-12,5.2
2015-01,5.54
2015-02,5.76
2015-03,5.86
2015-04,5.81
2015-05,5.72
2015-06,5.75
2015-07,5.62
2015-08,5.51
2015-09,5.19
2015-10,5.46
2015-11,5.67
2015-12,5.24
2016-01,5.11
2016-02,5.02
2016-03,5.61
2016-04,5.74
2016-05,5.61
2016-06,5.51
2016-07,5.87
2016-08,6.27
2016-09,6.16
2016-10,6.08
2016-11,6.37
2016-12,6.7
2017-01,6.87
2017-02,7.22
2017-03,7.22
2017-04,7.31
2017-05,6.92
2017-06,6.96
2017-07,6.97
2017-08,6.83
2017-09,7.14
2017-10,7.0
2017-11,7.06
2017-12,7.01
2018-01,7.11
2018-02,7.04
2018-03,7.24
2018-04,7.32
2018-05,7.71
2018-06,7.68
2018-07,7.87
2018-08,8.15
2018-09,8.21
2018-10,8.2
2018-11,8.14
2018-12,7.62
2019-01,7.97
2019-02,8.47
2019-03,8.59
2019-04,9.02
2019-05,8.8
2019-06,9.21
2019-07,9.53
2019-08,9.68
2019-09,9.78
2019-10,9.6
2019-11,9.83
2019-12,10.01
2020-01,10.1
2020-02,9.22
2020-03,5.95
2020-04,7.09
2020-05,8.14
2020-06,8.2
2020-07,8.0
2020-08,8.35
2020-09,8.14
2020-10,8.07
2020-11,9.62
2020-12,10.09
2021-01,10.34
2021-02,10.96
2021-03,11.42
2021-04,11.75
2021-05,11.88
2021-06,12.2
2021-07,12.44
2021-08,12.39
2021-09,12.92
2021-10,13.63
2021-11,12.88
2021-12,13.74
2022-01,14.33
2022-02,14.16
2022-03,13.9
2022-04,13.45
2022-05,12.85
2022-06,12.2
2022-07,13.19
2022-08,13.36
2022-09,11.76
2022-10,13.53
2022-11,13.69
2022-12,13.21
2023-01,13.86
2023-02,13.85
2023-03,13.43
2023-04,13.59
2023-05,13.78
2023-06,14.17
2023-07,14.78
2023-08,14.7
2023-09,15.05
2023-10,14.66
2023-11,15.32
2023-12,15.86
2024-01,16.02
2024-02,16.02
2024-03,16.88
2024-04,16.71
2024-05,17.49
2024-06,17.28
2024-07,17.37
2024-08,17.48
2024-09,17.78
2024-10,17.95
2024-11,18.81
2024-12,19.0
2025-01,20.54
2025-02,20.29
2025-03,19.67
2025-04,18.34
2025-05,19.58
2025-06,19.93
2025-07,20.53
2025-08,20.32
2025-09,18.93
2025-10,18.87
2025-11,19.12
2025-12,19.2
2026-01,18.88
2026-02,17.67
2026-03,17.57
2026-04,18.68
2026-05,18.52
2026-06,18.53
2026-07,18.76
2026-08,20.01
