date,bxsl
2021-11,31.2
2021-12,34.0
2022-01,28.93
2022-02,28.89
2022-03,27.88
2022-04,27.57
2022-05,24.81
2022-06,23.64
2022-07,23.48
2022-08,23.71
2022-09,22.74
2022-10,23.29
2022-11,23.94
2022-12,22.35
2023-01,24.6
2023-02,25.9
2023-03,24.93
2023-04,25.8
2023-05,25.63
2023-06,27.36
2023-07,28.44
2023-08,27.79
2023-09,27.36
2023-10,27.37
2023-11,28.37
2023-12,27.64
2024-01,28.61
2024-02,29.6
2024-03,31.15
2024-04,31.69
2024-05,31.47
2024-06,30.62
2024-07,30.66
2024-08,30.15
2024-09,29.29
2024-10,31.13
2024-11,32.58
2024-12,32.31
2025-01,33.57
2025-02,33.71
2025-03,32.36
2025-04,29.3
2025-05,31.88
2025-06,30.75
2025-07,31.55
2025-08,29.97
2025-09,26.07
2025-10,26.44
2025-11,27.59
2025-12,26.33
2026-01,25.66
2026-02,23.88
2026-03,23.69
2026-04,24.8
2026-05,23.73
2026-06,23.71
2026-07,23.1
2026-08,25.01
