date,cape
1881-01,18.474
1881-02,18.1473
1881-03,18.2701
1881-04,17.9501
1881-05,18.8697
1881-06,19.0287
1881-07,18.1164
1881-08,17.2862
1881-09,16.7248
1881-10,16.262
1881-11,16.4786
1881-12,15.9588
1882-01,15.6788
1882-02,15.1539
1882-03,15.0917
1882-04,14.917
1882-05,14.5671
1882-06,14.3274
1882-07,15.2406
1882-08,15.5254
1882-09,16.0811
1882-10,15.7556
1882-11,15.1927
1882-12,15.3821
1883-01,15.2703
1883-02,14.7576
1883-03,15.0513
1883-04,15.4821
1883-05,15.3355
1883-06,15.9034
1883-07,15.9488
1883-08,15.1968
1883-09,15.4947
1883-10,15.0481
1883-11,15.4082
1883-12,14.8964
1884-01,14.4328
1884-02,14.806
1884-03,14.736
1884-04,14.3535
1884-05,13.4651
1884-06,12.9069
1884-07,13.0439
1884-08,13.8598
1884-09,13.5692
1884-10,13.2733
1884-11,13.3044
1884-12,13.4323
1885-01,13.1298
1885-02,13.3848
1885-03,13.7342
1885-04,13.5485
1885-05,13.7114
1885-06,13.9788
1885-07,14.3267
1885-08,15.1304
1885-09,15.1163
1885-10,15.991
1885-11,16.824
1885-12,16.3045
1886-01,16.6923
1886-02,17.0066
1886-03,16.8433
1886-04,16.8017
1886-05,16.8632
1886-06,17.8315
1886-07,17.8458
1886-08,17.7239
1886-09,18.1471
1886-10,18.5624
1886-11,18.9683
1886-12,18.1941
1887-01,17.5122
1887-02,17.1254
1887-03,17.4732
1887-04,17.823
1887-05,18.0754
1887-06,17.7077
1887-07,17.4315
1887-08,16.7398
1887-09,16.6766
1887-10,15.8807
1887-11,15.9507
1887-12,15.4555
1888-01,15.3587
1888-02,15.4182
1888-03,14.809
1888-04,15.0201
1888-05,15.3879
1888-06,15.0776
1888-07,15.2796
1888-08,15.6029
1888-09,15.9878
1888-10,15.7159
1888-11,15.2237
1888-12,14.9467
1889-01,15.8023
1889-02,16.1927
1889-03,16.065
1889-04,16.0501
1889-05,16.9154
1889-06,17.2193
1889-07,16.8892
1889-08,17.1319
1889-09,17.3508
1889-10,17.0532
1889-11,16.906
1889-12,16.6103
1890-01,17.2201
1890-02,17.0268
1890-03,16.9011
1890-04,17.2579
1890-05,17.7864
1890-06,17.6844
1890-07,17.5893
1890-08,16.5968
1890-09,16.1697
1890-10,15.4828
1890-11,14.745
1890-12,14.443
1891-01,15.429
1891-02,15.4765
1891-03,15.0516
1891-04,15.4089
1891-05,15.5665
1891-06,15.6582
1891-07,15.6179
1891-08,16.164
1891-09,17.7113
1891-10,17.7166
1891-11,17.6717
1891-12,18.2063
1892-01,19.0164
1892-02,19.0364
1892-03,19.7381
1892-04,19.9433
1892-05,19.9115
1892-06,19.7693
1892-07,19.2119
1892-08,19.2043
1892-09,18.6943
1892-10,19.0402
1892-11,18.4633
1892-12,18.013
1893-01,17.6566
1893-02,17.1252
1893-03,16.8996
1893-04,17.1025
1893-05,15.781
1893-06,15.4165
1893-07,14.3499
1893-08,14.5881
1893-09,15.0121
1893-10,15.2718
1893-11,15.9424
1893-12,15.6127
1894-01,15.7399
1894-02,16.2027
1894-03,17.1876
1894-04,17.4348
1894-05,16.8088
1894-06,16.6063
1894-07,16.2897
1894-08,16.4578
1894-09,16.5223
1894-10,16.5029
1894-11,16.5428
1894-12,16.6725
1895-01,16.5244
1895-02,16.3312
1895-03,16.3646
1895-04,16.3875
1895-05,17.0804
1895-06,17.2074
1895-07,17.546
1895-08,18.0741
1895-09,18.2003
1895-10,17.9447
1895-11,17.343
1895-12,16.5484
1896-01,16.5762
1896-02,17.5154
1896-03,17.2324
1896-04,17.6437
1896-05,17.8283
1896-06,17.7776
1896-07,16.6371
1896-08,15.7034
1896-09,16.5443
1896-10,16.4389
1896-11,17.0894
1896-12,16.5014
1897-01,17.0265
1897-02,16.894
1897-03,16.958
1897-04,16.6969
1897-05,17.0478
1897-06,17.8505
1897-07,18.652
1897-08,19.0064
1897-09,19.3724
1897-10,19.028
1897-11,18.3584
1897-12,18.7488
1898-01,19.249
1898-02,18.9181
1898-03,18.0422
1898-04,17.7051
1898-05,17.5956
1898-06,19.5448
1898-07,19.8589
1898-08,20.5449
1898-09,20.4427
1898-10,19.9472
1898-11,20.5274
1898-12,21.4036
1899-01,22.9328
1899-02,23.0481
1899-03,23.2797
1899-04,23.1524
1899-05,22.0913
1899-06,21.2121
1899-07,21.5614
1899-08,21.7262
1899-09,20.5911
1899-10,20.1537
1899-11,20.1965
1899-12,18.5126
1900-01,18.6743
1900-02,18.7038
1900-03,18.7758
1900-04,18.9364
1900-05,18.4032
1900-06,17.9927
1900-07,17.6895
1900-08,18.0696
1900-09,17.3419
1900-10,18.1024
1900-11,19.4196
1900-12,20.7441
1901-01,20.9786
1901-02,21.6791
1901-03,22.3476
1901-04,24.4097
1901-05,23.064
1901-06,25.2385
1901-07,23.1448
1901-08,23.0772
1901-09,22.5905
1901-10,22.2529
1901-11,22.3751
1901-12,21.6802
1902-01,22.3403
1902-02,22.46
1902-03,22.4107
1902-04,22.8231
1902-05,22.428
1902-06,21.9637
1902-07,22.3857
1902-08,23.1687
