date,djia
1976-01,975
1976-02,973
1976-03,999
1976-04,997
1976-05,975
1976-06,1003
1976-07,985
1976-08,974
1976-09,990
1976-10,965
1976-11,947
1976-12,1005
1977-01,954
1977-02,936
1977-03,919
1977-04,927
1977-05,899
1977-06,916
1977-07,890
1977-08,861
1977-09,847
1977-10,818
1977-11,830
1977-12,831
1978-01,770
1978-02,742
1978-03,757
1978-04,837
1978-05,841
1978-06,819
1978-07,862
1978-08,877
1978-09,866
1978-10,792
1978-11,799
1978-12,805
1979-01,839
1979-02,809
1979-03,862
1979-04,855
1979-05,822
1979-06,842
1979-07,846
1979-08,888
1979-09,879
1979-10,816
1979-11,822
1979-12,839
1980-01,876
1980-02,863
1980-03,786
1980-04,817
1980-05,851
1980-06,868
1980-07,935
1980-08,933
1980-09,932
1980-10,924
1980-11,993
1980-12,964
1981-01,947
1981-02,975
1981-03,1004
1981-04,998
1981-05,992
1981-06,977
1981-07,952
1981-08,881
1981-09,850
1981-10,853
1981-11,889
1981-12,875
1982-01,871
1982-02,824
1982-03,823
1982-04,848
1982-05,820
1982-06,812
1982-07,809
1982-08,901
1982-09,896
1982-10,992
1982-11,1039
1982-12,1047
1983-01,1076
1983-02,1113
1983-03,1130
1983-04,1226
1983-05,1200
1983-06,1222
1983-07,1199
1983-08,1216
1983-09,1233
1983-10,1225
1983-11,1276
1983-12,1259
1984-01,1221
1984-02,1155
1984-03,1165
1984-04,1171
1984-05,1105
1984-06,1132
1984-07,1115
1984-08,1224
1984-09,1207
1984-10,1207
1984-11,1189
1984-12,1212
1985-01,1287
1985-02,1284
1985-03,1267
1985-04,1258
1985-05,1315
1985-06,1335
1985-07,1347
1985-08,1334
1985-09,1329
1985-10,1374
1985-11,1472
1985-12,1547
1986-01,1571
1986-02,1709
1986-03,1819
1986-04,1784
1986-05,1877
1986-06,1893
1986-07,1775
1986-08,1898
1986-09,1768
1986-10,1878
1986-11,1914
1986-12,1896
1987-01,2158
1987-02,2224
1987-03,2305
1987-04,2286
1987-05,2292
1987-06,2419
1987-07,2572
1987-08,2663
1987-09,2596
1987-10,1994
1987-11,1834
1987-12,1939
1988-01,1958
1988-02,2072
1988-03,1988
1988-04,2032
1988-05,2031
1988-06,2142
1988-07,2129
1988-08,2032
1988-09,2113
1988-10,2149
1988-11,2115
1988-12,2169
1989-01,2342
1989-02,2258
1989-03,2294
1989-04,2419
1989-05,2480
1989-06,2440
1989-07,2661
1989-08,2737
1989-09,2693
1989-10,2645
1989-11,2706
1989-12,2753
1990-01,2591
1990-02,2627
1990-03,2707
1990-04,2657
1990-05,2877
1990-06,2881
1990-07,2905
1990-08,2614
1990-09,2452
1990-10,2442
1990-11,2560
1990-12,2634
1991-01,2736
1991-02,2882
1991-03,2914
1991-04,2888
1991-05,3028
1991-06,2907
1991-07,3025
1991-08,3044
1991-09,3017
1991-10,3069
1991-11,2895
1991-12,3169
1992-01,3223
1992-02,3268
1992-03,3236
1992-04,3359
1992-05,3397
1992-06,3318
1992-07,3394
1992-08,3257
1992-09,3272
1992-10,3226
1992-11,3305
1992-12,3301
1993-01,3310
1993-02,3371
1993-03,3435
1993-04,3428
1993-05,3527
1993-06,3516
1993-07,3539
1993-08,3651
1993-09,3555
1993-10,3681
1993-11,3684
1993-12,3754
1994-01,3978
1994-02,3832
1994-03,3636
1994-04,3682
1994-05,3758
1994-06,3625
1994-07,3764
1994-08,3913
1994-09,3843
1994-10,3908
1994-11,3739
1994-12,3834
1995-01,3844
1995-02,4011
1995-03,4158
1995-04,4321
1995-05,4465
1995-06,4556
1995-07,4708
1995-08,4611
1995-09,4789
1995-10,4755
1995-11,5074
1995-12,5117
1996-01,5395
1996-02,5486
1996-03,5587
1996-04,5569
1996-05,5643
1996-06,5655
1996-07,5529
1996-08,5616
1996-09,5882
1996-10,6029
1996-11,6522
1996-12,6448
1997-01,6813
1997-02,6878
1997-03,6583
1997-04,7009
1997-05,7331
1997-06,7673
1997-07,8223
1997-08,7622
1997-09,7945
1997-10,7442
1997-11,7823
1997-12,7908
1998-01,7906
1998-02,8546
1998-03,8800
1998-04,9063
1998-05,8900
1998-06,8952
1998-07,8883
1998-08,7539
1998-09,7843
1998-10,8592
1998-11,9117
1998-12,9181
1999-01,9359
1999-02,9307
1999-03,9786
1999-04,10789
1999-05,10560
1999-06,10971
1999-07,10655
1999-08,10829
1999-09,10337
1999-10,10730
1999-11,10878
1999-12,11497
2000-01,10941
2000-02,10128
2000-03,10922
2000-04,10734
2000-05,10522
2000-06,10448
2000-07,10522
2000-08,11215
2000-09,10651
2000-10,10971
2000-11,10414
2000-12,10788
2001-01,10887
2001-02,10495
2001-03,9879
2001-04,10735
2001-05,10912
2001-06,10502
2001-07,10523
2001-08,9950
2001-09,8848
2001-10,9075
2001-11,9852
2001-12,10022
2002-01,9920
2002-02,10106
2002-03,10404
2002-04,9946
2002-05,9925
2002-06,9243
2002-07,8737
2002-08,8664
2002-09,7592
2002-10,8397
2002-11,8896
2002-12,8342
2003-01,8054
2003-02,7891
2003-03,7992
2003-04,8480
2003-05,8850
2003-06,8985
2003-07,9234
2003-08,9416
2003-09,9275
2003-10,9801
2003-11,9782
2003-12,10454
2004-01,10488
2004-02,10584
2004-03,10358
2004-04,10226
2004-05,10188
2004-06,10435
2004-07,10140
2004-08,10174
2004-09,10080
2004-10,10027
