date,rut
1987-09,170.81
1987-10,118.26
1987-11,111.7
1987-12,120.42
1988-01,125.24
1988-02,136.1
1988-03,142.15
1988-04,145.01
1988-05,141.37
1988-06,151.3
1988-07,149.89
1988-08,145.74
1988-09,149.09
1988-10,147.25
1988-11,142.01
1988-12,147.37
1989-01,153.85
1989-02,154.56
1989-03,157.9
1989-04,164.68
1989-05,171.53
1989-06,167.42
1989-07,174.5
1989-08,178.2
1989-09,178.21
1989-10,167.47
1989-11,168.17
1989-12,168.31
1990-01,153.27
1990-02,157.72
1990-03,163.63
1990-04,158.09
1990-05,168.91
1990-06,169.12
1990-07,161.51
1990-08,139.51
1990-09,126.7
1990-10,118.83
1990-11,127.51
1990-12,132.2
1991-01,144.17
1991-02,160.0
1991-03,171.01
1991-04,170.61
1991-05,178.34
1991-06,167.61
1991-07,172.76
1991-08,179.11
1991-09,180.16
1991-10,185.0
1991-11,176.37
1991-12,189.94
1992-01,205.16
1992-02,211.15
1992-03,203.7
1992-04,196.26
1992-05,198.52
1992-06,188.58
1992-07,194.74
1992-08,188.79
1992-09,192.91
1992-10,198.91
1992-11,213.81
1992-12,221.01
1993-01,228.1
1993-02,222.41
1993-03,229.21
1993-04,222.68
1993-05,232.19
1993-06,233.35
1993-07,236.46
1993-08,246.17
1993-09,252.95
1993-10,259.18
1993-11,250.41
1993-12,258.59
1994-01,266.52
1994-02,265.53
1994-03,251.06
1994-04,252.55
1994-05,249.28
1994-06,240.29
1994-07,244.06
1994-08,257.32
1994-09,256.12
1994-10,255.02
1994-11,244.25
1994-12,250.36
1995-01,246.85
1995-02,256.57
1995-03,260.77
1995-04,266.17
1995-05,270.25
1995-06,283.63
1995-07,299.72
1995-08,305.31
1995-09,310.38
1995-10,296.25
1995-11,308.58
1995-12,315.97
1996-01,315.38
1996-02,324.93
1996-03,330.77
1996-04,348.28
1996-05,361.85
1996-06,346.61
1996-07,316.0
1996-08,333.88
1996-09,346.39
1996-10,340.57
1996-11,354.11
1996-12,362.61
1997-01,369.45
1997-02,360.05
1997-03,342.56
1997-04,343.0
1997-05,380.76
1997-06,396.37
1997-07,414.48
1997-08,423.43
1997-09,453.82
1997-10,433.26
1997-11,429.92
1997-12,437.02
1998-01,430.05
1998-02,461.83
1998-03,480.68
1998-04,482.89
1998-05,456.62
1998-06,457.39
1998-07,419.75
1998-08,337.95
1998-09,363.59
1998-10,378.16
1998-11,397.75
1998-12,421.96
1999-01,427.22
1999-02,392.26
1999-03,397.63
1999-04,432.81
1999-05,438.68
1999-06,457.68
1999-07,444.77
1999-08,427.83
1999-09,427.3
1999-10,428.64
1999-11,454.08
1999-12,504.75
2000-01,496.23
2000-02,577.71
2000-03,539.09
2000-04,506.25
2000-05,476.18
2000-06,517.23
2000-07,500.64
2000-08,537.89
2000-09,521.37
2000-10,497.68
2000-11,445.94
2000-12,483.53
2001-01,508.34
2001-02,474.37
2001-03,450.53
2001-04,485.32
2001-05,496.5
2001-06,512.64
2001-07,484.78
2001-08,468.56
2001-09,404.87
2001-10,428.17
2001-11,460.78
2001-12,488.5
2002-01,483.1
2002-02,469.36
2002-03,506.46
2002-04,510.67
2002-05,487.47
2002-06,462.64
2002-07,392.42
2002-08,390.96
2002-09,362.27
2002-10,373.5
2002-11,406.35
2002-12,383.09
2003-01,372.17
2003-02,360.52
2003-03,364.54
2003-04,398.68
2003-05,441.0
2003-06,448.37
2003-07,476.02
2003-08,497.42
2003-09,487.68
2003-10,528.22
2003-11,546.51
2003-12,556.91
2004-01,580.76
2004-02,585.56
2004-03,590.31
2004-04,559.8
2004-05,568.28
2004-06,591.52
2004-07,551.29
2004-08,547.93
2004-09,572.94
2004-10,583.79
2004-11,633.77
2004-12,651.57
2005-01,624.02
2005-02,634.06
2005-03,615.07
2005-04,579.38
2005-05,616.71
2005-06,639.66
2005-07,679.75
2005-08,666.51
2005-09,667.8
2005-10,646.61
2005-11,677.29
2005-12,673.22
2006-01,733.2
2006-02,730.64
2006-03,765.14
2006-04,764.54
2006-05,721.01
2006-06,724.67
2006-07,700.56
2006-08,720.53
2006-09,725.59
2006-10,766.84
2006-11,786.12
2006-12,787.66
2007-01,800.34
2007-02,793.3
2007-03,800.71
2007-04,814.57
2007-05,847.18
2007-06,833.7
2007-07,776.12
2007-08,792.86
2007-09,805.45
2007-10,828.02
2007-11,767.77
2007-12,766.03
2008-01,713.3
2008-02,686.18
2008-03,687.97
2008-04,716.18
2008-05,748.28
2008-06,689.66
2008-07,714.52
2008-08,739.5
2008-09,679.58
2008-10,537.52
2008-11,473.14
2008-12,499.45
2009-01,443.53
2009-02,389.02
2009-03,422.75
2009-04,487.56
2009-05,501.58
2009-06,508.28
2009-07,556.71
2009-08,572.07
2009-09,604.28
2009-10,562.77
2009-11,579.73
2009-12,625.39
2010-01,602.04
2010-02,628.56
2010-03,678.64
2010-04,716.6
2010-05,661.61
2010-06,609.49
2010-07,650.89
2010-08,602.06
2010-09,676.14
2010-10,703.35
2010-11,727.01
2010-12,783.65
2011-01,781.25
2011-02,823.45
2011-03,843.55
2011-04,865.29
2011-05,848.3
2011-06,827.43
2011-07,797.03
2011-08,726.81
2011-09,644.16
2011-10,741.06
2011-11,737.42
2011-12,740.92
2012-01,792.82
2012-02,810.94
2012-03,830.3
2012-04,816.88
2012-05,761.82
2012-06,798.49
2012-07,786.94
2012-08,812.09
2012-09,837.45
2012-10,818.73
2012-11,821.92
2012-12,849.35
2013-01,902.09
2013-02,911.11
2013-03,951.54
2013-04,947.46
2013-05,984.15
2013-06,977.48
2013-07,1045.26
2013-08,1010.9
2013-09,1073.79
2013-10,1100.15
2013-11,1142.89
2013-12,1163.64
2014-01,1130.88
2014-02,1183.03
2014-03,1173.04
2014-04,1126.86
2014-05,1134.5
2014-06,1192.96
2014-07,1120.07
2014-08,1174.35
2014-09,1101.68
2014-10,1173.51
2014-11,1173.23
2014-12,1204.7
2015-01,1165.39
2015-02,1233.37
2015-03,1252.77
2015-04,1220.13
2015-05,1246.53
2015-06,1253.95
2015-07,1238.68
2015-08,1159.45
2015-09,1100.69
2015-10,1161.86
2015-11,1198.11
2015-12,1135.89
2016-01,1035.38
2016-02,1033.9
2016-03,1114.03
2016-04,1130.85
2016-05,1154.79
2016-06,1151.92
2016-07,1219.94
2016-08,1239.91
2016-09,1251.65
2016-10,1191.39
2016-11,1322.34
2016-12,1357.13
2017-01,1361.82
2017-02,1386.68
2017-03,1385.92
2017-04,1400.43
2017-05,1370.21
2017-06,1415.36
2017-07,1425.14
2017-08,1405.28
2017-09,1490.86
2017-10,1502.53
2017-11,1544.14
2017-12,1535.51
2018-01,1574.98
2018-02,1512.45
2018-03,1529.43
2018-04,1541.88
2018-05,1633.61
2018-06,1643.07
2018-07,1670.8
2018-08,1740.75
2018-09,1696.57
2018-10,1511.41
2018-11,1533.27
2018-12,1348.56
2019-01,1499.42
2019-02,1575.55
2019-03,1539.74
2019-04,1591.21
2019-05,1465.49
2019-06,1566.57
2019-07,1574.61
2019-08,1494.84
2019-09,1523.37
2019-10,1562.45
2019-11,1624.5
2019-12,1668.47
2020-01,1614.06
2020-02,1476.43
2020-03,1153.1
2020-04,1310.66
2020-05,1394.04
2020-06,1441.37
2020-07,1480.43
2020-08,1561.88
2020-09,1507.69
2020-10,1538.48
2020-11,1819.82
2020-12,1974.86
2021-01,2073.64
2021-02,2201.05
2021-03,2220.52
2021-04,2266.45
2021-05,2268.97
2021-06,2310.55
2021-07,2226.25
2021-08,2273.77
2021-09,2204.37
2021-10,2297.19
2021-11,2198.91
2021-12,2245.31
2022-01,2028.45
2022-02,2048.09
2022-03,2070.13
2022-04,1864.1
2022-05,1864.04
2022-06,1707.99
2022-07,1885.23
2022-08,1844.12
2022-09,1664.72
2022-10,1846.86
2022-11,1886.58
2022-12,1761.25
2023-01,1931.94
2023-02,1896.99
2023-03,1802.48
2023-04,1768.99
2023-05,1749.65
2023-06,1888.73
2023-07,2003.18
2023-08,1899.68
2023-09,1785.1
2023-10,1662.28
2023-11,1809.02
2023-12,2027.07
2024-01,1947.34
2024-02,2054.84
2024-03,2124.55
2024-04,1973.91
2024-05,2070.13
2024-06,2047.69
2024-07,2254.48
2024-08,2217.63
2024-09,2229.97
2024-10,2196.65
2024-11,2434.73
2024-12,2230.16
2025-01,2287.69
2025-02,2163.07
2025-03,2011.91
2025-04,1964.12
2025-05,2066.29
2025-06,2175.04
2025-07,2211.65
2025-08,2366.42
2025-09,2436.48
2025-10,2479.38
2025-11,2500.43
2025-12,2481.91
2026-01,2613.74
2026-02,2632.36
2026-03,2496.37
2026-04,2799.91
2026-05,2919.34
2026-06,3024.37
2026-07,2931.34
2026-08,3034.49
