date,spr_kbbl
1982-08-20,270455
1982-08-27,272603
1982-09-24,276833
1982-10-01,277633
1982-10-08,278725
1982-10-15,280802
1982-10-22,283393
1982-10-29,284268
1982-11-05,284906
1982-11-12,286198
1982-11-19,286335
1982-11-26,288156
1982-12-03,289963
1982-12-10,291509
1982-12-17,291718
1982-12-24,292488
1982-12-31,293214
1983-01-07,294818
1983-01-14,295440
1983-01-21,296684
1983-01-28,298379
1983-02-04,300917
1983-02-11,301960
1983-02-18,303746
1983-02-25,305348
1983-03-04,306964
1983-03-11,308517
1983-03-18,309756
1983-03-25,310320
1983-04-01,311841
1983-04-08,313583
1983-04-15,314817
1983-04-29,317456
1983-05-13,320749
1983-05-20,324116
1983-06-03,326832
1983-06-10,327402
1983-06-17,327971
1983-06-24,330079
1983-07-01,332136
1983-07-08,334661
1983-07-15,335797
1983-07-22,337901
1983-07-29,339962
1983-08-05,341779
1983-08-12,343932
1983-08-19,345689
1983-08-26,349031
1983-09-02,351783
1983-09-09,353339
1983-09-16,355695
1983-09-23,358289
1983-09-30,360456
1983-10-07,361276
1983-10-14,364933
1983-10-21,365212
1983-10-28,366141
1983-11-04,368324
1983-11-11,369566
1983-11-18,370160
1983-11-25,370630
1983-12-02,371291
1983-12-09,374518
1983-12-16,375005
1983-12-23,377184
1983-12-30,378309
1984-01-06,380664
1984-01-13,382600
1984-01-20,383796
1984-01-27,384455
1984-02-03,384770
1984-02-10,385472
1984-02-17,386277
1984-02-24,386935
1984-03-02,387234
1984-03-09,387559
1984-03-16,388737
1984-03-23,389265
1984-03-30,391798
1984-04-06,393499
1984-04-13,393499
1984-04-20,395330
1984-04-27,395957
1984-05-04,397205
1984-05-11,398454
1984-05-18,399500
1984-05-25,400842
1984-06-01,402825
1984-06-08,405194
1984-06-15,408365
1984-06-22,408730
1984-06-29,412610
1984-07-06,413730
1984-07-13,417032
1984-07-20,418845
1984-07-27,420094
1984-08-03,423899
1984-08-10,426110
1984-08-17,427600
1984-08-24,428280
1984-08-31,429467
1984-09-07,430101
1984-09-14,430101
1984-09-21,430407
1984-09-28,431066
1984-10-05,432086
1984-10-12,433080
1984-10-19,433396
1984-10-26,433895
1984-11-02,436093
1984-11-09,438731
1984-11-16,439228
1984-11-23,441273
1984-11-30,443046
1984-12-07,444074
1984-12-14,446094
1984-12-21,447559
1984-12-28,449157
1985-01-04,450505
1985-01-11,450851
1985-01-18,453800
1985-01-25,454165
1985-02-01,457232
1985-02-08,457755
1985-02-15,458106
1985-02-22,458753
1985-03-01,459519
1985-03-08,460138
1985-03-15,460398
1985-03-22,461005
1985-03-29,461266
1985-04-05,461617
1985-04-12,461962
1985-04-19,462387
1985-04-26,464051
1985-05-03,464940
1985-05-10,466127
1985-05-17,467854
1985-05-24,469968
1985-05-31,471336
1985-06-07,471930
1985-06-14,473426
1985-06-21,474619
1985-06-28,476150
1985-07-05,476571
1985-07-12,477998
1985-07-19,481253
1985-07-26,482052
1985-08-02,483533
1985-08-09,483947
1985-08-16,484640
1985-08-23,485619
1985-08-30,486860
1985-09-06,487383
1985-09-13,487755
1985-09-20,488019
1985-09-27,489249
1985-10-04,489254
1985-10-11,489254
1985-10-18,489254
1985-10-25,489616
1985-11-01,489880
1985-11-08,490140
1985-11-15,490140
1985-11-22,490794
1985-11-29,491057
1985-12-06,491827
1985-12-13,492082
1985-12-20,492607
1985-12-27,492666
1986-01-03,493316
1986-01-10,492793
1986-01-17,492793
1986-01-24,493506
1986-01-31,494389
1986-02-07,494392
1986-02-14,494392
1986-02-21,494724
1986-02-28,495057
1986-03-07,495782
1986-03-14,495782
1986-03-21,496188
1986-03-28,496590
1986-04-04,496892
1986-04-11,497295
1986-04-18,497559
1986-04-25,498170
1986-05-02,498784
1986-05-09,498784
1986-05-16,498784
1986-05-23,499130
1986-05-30,499479
1986-06-06,500292
1986-06-13,500695
1986-06-20,501043
1986-06-27,501384
1986-07-04,501786
1986-07-11,502131
1986-07-18,502750
1986-07-25,503095
1986-08-01,503398
1986-08-08,503400
1986-08-15,504191
1986-08-22,504578
1986-08-29,504973
1986-09-05,504973
1986-09-12,505316
1986-09-19,505658
1986-09-26,506381
1986-10-03,506381
1986-10-10,506381
1986-10-17,506815
1986-10-24,506815
1986-10-31,507518
1986-11-07,507894
1986-11-14,508398
1986-11-21,508398
1986-11-28,509267
1986-12-05,509470
1986-12-12,509678
1986-12-19,510656
1986-12-26,511001
1987-01-02,511564
1987-01-09,511956
1987-01-16,512472
1987-01-23,513038
1987-01-30,513935
1987-02-06,515200
1987-02-13,515403
1987-02-20,515809
1987-02-27,516491
1987-03-06,516709
1987-03-13,518066
1987-03-20,518411
1987-03-27,518918
1987-04-03,519979
1987-04-10,520346
1987-04-17,520903
1987-04-24,521250
1987-05-01,521983
1987-05-08,522875
1987-05-15,523355
1987-05-22,523844
1987-05-29,524820
1987-06-05,525735
1987-06-12,526084
1987-06-19,526429
1987-06-26,526772
1987-07-03,527189
1987-07-10,527987
1987-07-17,528330
1987-07-24,529171
1987-07-31,529670
1987-08-07,530510
1987-08-14,530850
1987-08-21,531288
1987-08-28,531971
1987-09-04,531971
1987-09-11,532319
1987-09-18,533054
1987-09-25,533395
1987-10-02,533894
1987-10-09,533894
1987-10-16,534228
1987-10-23,534961
1987-10-30,535305
1987-11-06,536107
1987-11-13,536521
1987-11-20,537311
1987-11-27,537707
1987-12-04,538547
1987-12-11,538547
1987-12-18,539051
1987-12-25,540158
1988-01-01,540659
1988-01-08,540993
1988-01-15,541485
1988-01-22,541485
1988-01-29,542432
1988-02-05,542720
1988-02-12,543212
1988-02-19,543212
1988-02-26,543656
1988-03-04,544146
1988-03-11,544643
1988-03-18,544643
1988-03-25,544927
1988-04-01,544927
1988-04-08,545779
1988-04-15,546184
1988-04-22,546184
1988-04-29,546690
1988-05-06,547258
1988-05-13,547258
1988-05-20,547258
1988-05-27,547597
1988-06-03,547938
1988-06-10,548910
1988-06-17,548910
1988-06-24,549361
1988-07-01,549697
1988-07-08,550404
1988-07-15,550748
1988-07-22,551043
1988-07-29,551345
1988-08-05,551647
1988-08-12,551647
1988-08-19,551647
1988-08-26,552141
1988-09-02,552141
1988-09-09,553036
1988-09-16,553036
1988-09-23,553544
1988-09-30,554146
1988-10-07,554146
1988-10-14,554649
1988-10-21,555160
1988-10-28,556003
1988-11-04,556001
1988-11-11,556844
1988-11-18,557680
1988-11-25,558179
