ticker,fy_end,revenue,capex
AAPL,2007-09-29,24578000000,735000000
AAPL,2008-09-27,37491000000,1091000000
AAPL,2009-09-26,42905000000,1144000000
AAPL,2010-09-25,65225000000,2005000000
AAPL,2011-09-24,108249000000,4260000000
AAPL,2012-09-29,156508000000,8295000000
AAPL,2013-09-28,170910000000,8165000000
AAPL,2014-09-27,182795000000,9571000000
AAPL,2015-09-26,233715000000,11247000000
AAPL,2016-09-24,215639000000,12734000000
AAPL,2017-09-30,229234000000,12451000000
AAPL,2018-09-29,265595000000,13313000000
AAPL,2019-09-28,260174000000,10495000000
AAPL,2020-09-26,274515000000,7309000000
AAPL,2021-09-25,365817000000,11085000000
AAPL,2022-09-24,394328000000,10708000000
AAPL,2023-09-30,383285000000,10959000000
AAPL,2024-09-28,391035000000,9447000000
AAPL,2025-09-27,416161000000,12715000000
MSFT,2008-06-30,60420000000,3182000000
MSFT,2009-06-30,58437000000,3119000000
MSFT,2010-06-30,62484000000,1977000000
MSFT,2011-06-30,69943000000,2355000000
MSFT,2012-06-30,73723000000,2305000000
MSFT,2013-06-30,77849000000,4257000000
MSFT,2014-06-30,86833000000,5485000000
MSFT,2015-06-30,93580000000,5944000000
MSFT,2016-06-30,91154000000,8343000000
MSFT,2017-06-30,96571000000,8129000000
MSFT,2018-06-30,110360000000,11632000000
MSFT,2019-06-30,125843000000,13925000000
MSFT,2020-06-30,143015000000,15441000000
MSFT,2021-06-30,168088000000,20622000000
MSFT,2022-06-30,198270000000,23886000000
MSFT,2023-06-30,211915000000,28107000000
MSFT,2024-06-30,245122000000,44477000000
MSFT,2025-06-30,281724000000,64551000000
MSFT,2026-06-30,331839000000,115948000000
GOOGL,2013-12-31,55519000000,7358000000
GOOGL,2014-12-31,66001000000,11014000000
GOOGL,2015-12-31,74989000000,9950000000
GOOGL,2016-12-31,90272000000,10212000000
GOOGL,2017-12-31,110855000000,13184000000
GOOGL,2018-12-31,136819000000,25139000000
GOOGL,2019-12-31,161857000000,23548000000
GOOGL,2020-12-31,182527000000,22281000000
GOOGL,2021-12-31,257637000000,24640000000
GOOGL,2022-12-31,282836000000,31485000000
GOOGL,2023-12-31,307394000000,32251000000
GOOGL,2024-12-31,350018000000,52535000000
GOOGL,2025-12-31,402836000000,91447000000
AMZN,2007-12-31,14835000000,224000000
AMZN,2008-12-31,19166000000,333000000
AMZN,2009-12-31,24509000000,373000000
AMZN,2010-12-31,34204000000,979000000
AMZN,2011-12-31,48077000000,1811000000
AMZN,2012-12-31,61093000000,3785000000
AMZN,2013-12-31,74452000000,3444000000
AMZN,2014-12-31,88988000000,4893000000
AMZN,2015-12-31,107006000000,4589000000
AMZN,2016-12-31,135987000000,7804000000
AMZN,2017-12-31,177866000000,11955000000
AMZN,2018-12-31,232887000000,13427000000
AMZN,2019-12-31,280522000000,16861000000
AMZN,2020-12-31,386064000000,40140000000
AMZN,2021-12-31,469822000000,61053000000
AMZN,2022-12-31,513983000000,63645000000
AMZN,2023-12-31,574785000000,52729000000
AMZN,2024-12-31,637959000000,82999000000
AMZN,2025-12-31,716924000000,131819000000
META,2010-12-31,1974000000,293000000
META,2011-12-31,3711000000,606000000
META,2012-12-31,5089000000,1235000000
META,2013-12-31,7872000000,1362000000
META,2014-12-31,12466000000,1831000000
META,2015-12-31,17928000000,2523000000
META,2016-12-31,27638000000,4491000000
META,2017-12-31,40653000000,6733000000
META,2018-12-31,55838000000,13915000000
META,2019-12-31,70697000000,15102000000
META,2020-12-31,85965000000,15163000000
META,2021-12-31,117929000000,18690000000
META,2022-12-31,116609000000,31186000000
META,2023-12-31,134902000000,27045000000
META,2024-12-31,164501000000,37256000000
META,2025-12-31,200966000000,69691000000
